,hero1,hero2
467,AVALANCHE/DOMINIC PE,TOAD/MORTIMER TOYNBE
468,CAPTAIN AMERICA,"MASTERSON, KEVIN"
469,QUICKSILVER | MUTANT,MOON KNIGHT | MUTANT
470,PELE/MICHI SASAKI,SPIDER-WOMAN II/JULI
471,ZEUS,HEPHAESTUS
472,DAGGER/TANDY BOWEN,PUNISHER II/FRANK CA
473,STRONG GUY/GUIDO CAR,DR. DRUID/ANTHONY LU
474,TEXAS TWISTER/DREW D,WEREWOLF BY NIGHT/JA
475,DAREDEVIL/MATT MURDO,MEDUSA/MEDUSALITH AM
476,NAMORITA/NITA PRENTI,"NELSON, FRANKLIN FOG"
477,MIRAGE,"OSBORN, LIZ ALLAN"
478,MOONDRAGON/HEATHER D,"PEREGRINE, LE/FRANCK"
479,DR. STRANGE/STEPHEN ,CLOAK/TYRONE JOHNSON
480,WOLVERINE/LOGAN ,"DE LA FONTAINE, CONT"
481,EFFIGY/LT. VELMAX/JA,PIXIE/ [ETERNAL]
482,KRISTOFF/KRISTOFF VE,JUSTICE PEACE
483,ROCK/SAMUEL JOHN ROC,"JONES, RICHARD MILHO"
484,NIGHT THRASHER/DUANE,MEDUSA/MEDUSALITH AM
485,SCALPHUNTER,PSYLOCKE/ELISABETH B
486,"SCARFE, RAFAEL","KRAUS, DR. FREIDERIC"
487,"WATSON-PARKER, MARY ","LEEDS, BETTY BRANT"
488,IRON MAN/TONY STARK ,BLITZKRIEG/
489,ANCIENT ONE,CLEA
490,MARILLA [INHUMAN],BINARY/CAROL DANVERS
491,SHE-HULK/JENNIFER WA,ENCHANTRESS/AMORA/HE
492,JOSEPH,STORM/ORORO MUNROE S
493,HEIMDALL [ASGARDIAN],HOGUN [ASGARDIAN]
494,VISION ,HAWK
495,"AUSTIN, SUSAN",THOR/DR. DONALD BLAK
496,QUASAR III/WENDELL V,QUICKSILVER DOPPELGA
497,BLACK WIDOW/NATASHA ,HAWK
498,SILVER SURFER/NORRIN,STORM/ORORO MUNROE S
499,"OSBORN, HARRY","THOMPSON, EUGENE FLA"
500,RED GUARDIAN V,SLYDE
501,SPIDER-MAN/PETER PAR,TIGRA/GREER NELSON
502,DIAMONDBACK II/RACHE,ANACONDA/BLANCHE SIT
503,IRON MAN IV/JAMES R.,WONDER MAN/SIMON WIL
504,"JONES, GABE",QUICKSILVER/PIETRO M
505,"ROBERTSON, JOE",SPIDER-MAN/PETER PAR
506,MACHINE MAN/X-51,SUB-MARINER/NAMOR MA
507,"FURY, COL. NICHOLAS ",LIBRA/GUSTAV BRANDT
508,IRON FIST/DANIEL RAN,MR. FANTASTIC/REED R
509,TOAD/MORTIMER TOYNBE,COPYCAT/VANESSA
510,MOLE MAN/HARVEY RUPE,INVISIBLE WOMAN/SUE 
511,THANOS DOPPELGANGER,THANOS
512,BLACK KNIGHT V/DANE ,"GATOR, LORD"
513,LOCKHEED,BLACK KING/SEBASTIAN
514,ANT-MAN II/SCOTT HAR,SABRA/RUTH BAT-SERAP
515,WARLOCK II/ADAM WARL,MAGUS
516,INVISIBLE WOMAN/SUE ,AVIUS
517,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S
518,DR. DOOM/VICTOR VON ,SHROUD/MAXIMILLIAN Q
519,BEAST/HENRY &HANK& P,APOCALYPSE/EN SABAH 
520,LILANDRA NERAMANI [S,CYCLOPS/SCOTT SUMMER
521,NIGHTCRAWLER/KURT WA,MR. FANTASTIC/REED R
522,ROGUE /,HULK/DR. ROBERT BRUC
523,CYCLOPS/SCOTT SUMMER,BANSHEE/SEAN CASSIDY
524,LEAP-FROG/VINCENT PA,HAVOK/ALEX SUMMERS 
525,DR. STRANGE/STEPHEN ,OVERMIND/GROM
526,"MOOMJI, INDRIES","MARTINELLI, VINCENT "
527,DOMINO III/BEATRICE/,THUNDERBIRD II/JAMES
528,GAMORA,"HARKNESS, AGATHA"
529,"BLESSING, MORGANA",CLEA
530,NIGHTCRAWLER/KURT WA,"KOPPISCH, DR. ERIC"
531,JAVELIN/DARIN,RAINBOW
532,HAVOK/ALEX SUMMERS ,SUGAR MAN
533,CRYSTAL [INHUMAN],AIREO/AEOLUS [INHUMA
534,DR. DOOM/VICTOR VON ,MAGNETO/MAGNUS/ERIC 
535,"SIKORSKY, RAYMOND",POWERSURGE/ILLARION 
536,TYRANNUS,THING/BENJAMIN J. GR
537,"CABE, BETHANY","SONDHEIM, ERICA"
538,SPIDER-MAN CLONE/BEN,MYSTERIO/QUENTIN BEC
539,"ROSS, GEN. THADDEUS ",DOC SAMSON/DR. LEONA
540,ANT-MAN/DR. HENRY J.,ULTRON
541,LOOTER/NORTON G. FES,MASTER PROGRAMMER
542,RICTOR/JULIO ESTEBAN,"SUMMERS, NATHAN CHRI"
543,NIGHT THRASHER/DUANE,"CHORD, ANDREW"
544,ICEMAN/ROBERT BOBBY ,SYNCH/EVERETT THOMAS
545,CANNONBALL II/SAM GU,"MACTAGGERT, MOIRA KI"
546,CYBER,BRIQUETTE/
547,"JONES, CHARLOTTE",IRON MAN/TONY STARK 
548,COLLECTOR/TANELEER T,LOKI [ASGARDIAN]
549,KARNAK [INHUMAN],LOCKJAW [INHUMAN]
550,HOOPSNAKE/,HAWK
551,HUMAN TORCH/JOHNNY S,UATU
552,"CHURCH, LYNN",THUNDERBALL/DR. ELIO
553,TRITON,"FURY, COL. NICHOLAS "
554,MR. FANTASTIC/REED R,DR. DOOM/VICTOR VON 
555,"HOGAN, HAROLD J. HAP","HOGAN, VIRGINIA PEPP"
556,"GYRICH, HENRY PETER",CENTURY
557,NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL
558,FANDRAL [ASGARDIAN],MANGOG
559,SPIDERCIDE,"LEEDS, BETTY BRANT"
560,PHANTAZIA/,THORNN II/LUCIA CALL
561,"ADAMS, NICOLE NIKKI","LYNNE, MONICA"
562,DRAX/ARTHUR DOUGLAS,ANT-MAN/DR. HENRY J.
563,MECHAMAGE/,SUB-MARINER/NAMOR MA
564,"VOGHT, AMELIA",JUBILEE/JUBILATION L
565,VOLCANA/MARSHA ROSEN,ABSORBING MAN/CARL C
566,HAVOK/ALEX SUMMERS ,WONDER MAN/SIMON WIL
567,WOLVERINE/LOGAN ,LOCKHEED
568,TROLL/,GHOST RIDER II/JOHNN
569,VISE/,"FONTAINE, CINDER"
570,"ST. CROIX, CLAUDETTE",BANSHEE/SEAN CASSIDY
571,"BANNER, BETTY ROSS T","ROSS, GEN. THADDEUS "
572,"WATSON, ANNA",JACK O'LANTERN II/MA
573,SCARLET WITCH/WANDA ,DR. STRANGE/STEPHEN 
574,HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA
575,COACH,VIVISECTOR/MYLES ALF
576,WASP/JANET VAN DYNE ,HULK/DR. ROBERT BRUC
577,BEAST/HENRY &HANK& P,MOJO
578,"CUSHING, KATE",SPIDER-MAN/PETER PAR
579,MEDUSA/MEDUSALITH AM,DARKSTAR/LAYNIA SERG
580,SHE-HULK/JENNIFER WA,USAGENT/CAPTAIN JOHN
581,IRON MAN/TONY STARK ,MANDARIN
582,WHITE QUEEN/EMMA FRO,JUBILEE/JUBILATION L
583,MOONSTONE/LLOYD BLOC,BLACK PANTHER/T'CHAL
584,FIREFIST/RUSTY COLLI,HEIMDALL [ASGARDIAN]
585,BLACK WIDOW/NATASHA ,SHE-HULK/JENNIFER WA
586,PHARAOH RAMA-TUT,WIZARD/BENTLEY WITTM
587,BLACK CAT/FELICIA HA,SHOCKER/HERMAN SCHUL
588,"HODGE, CAMERON","MADDICKS, ARTHUR ART"
589,WIDGET,"STUART, DR. ALISTAIR"
590,AVALANCHE/DOMINIC PE,ROGUE /
591,"MACTAGGERT, MOIRA KI","SCARFE, RAFAEL"
592,"SUMMERS, NATHAN CHRI",ROGUE /
593,MR. FANTASTIC/REED R,BEAST/HENRY &HANK& P
594,SPEEDBALL/ROBBIE BAL,NOVA/RICHARD RIDER
595,"DEWOLFF, JEAN",CRIMSON DYNAMO V/DIM
596,"LEEDS, BETTY BRANT","THOMPSON, EUGENE FLA"
597,"CARTER, SHARON",CAPTAIN AMERICA
598,BOUNTY II,CALEDONIA/ALISANDE S
599,"KANE, MARCY/KAINA","CONNORS, BILLY"
600,PALADIN/PAUL DENNIS,ASP II/CLEO
601,BETA RAY BILL,HEIMDALL [ASGARDIAN]
602,FATALE/PAMELA GREENW,GREYSTONE/BRIAN YOUN
603,VISION ,ZEUS
604,"MERCADO, JOY","WATSON-PARKER, MARY "
605,MOONDRAGON/HEATHER D,QUICKSILVER/PIETRO M
606,"WADE, AGENT JOE",TIMESLIP/RINA PATEL
607,WASP/JANET VAN DYNE ,CAPTAIN AMERICA
608,ZELDA,BERNARD THE POET
609,HEIMDALL [ASGARDIAN],TEFRAL
610,PUCK DOPPELGANGER II,DARKHAWK DOPPELGANGE
611,ROGUE /,CYCLOPS/SCOTT SUMMER
612,WATER WIZARD/PETE,DOORMAN
613,HELA [ASGARDIAN],LOKI [ASGARDIAN]
614,SCARLET WITCH/WANDA ,STARFOX/EROS
615,PICO,DOMINO III/BEATRICE/
616,"KINCAID, DR. JANE FO",ANAK
617,EENY,CANNONBALL II/SAM GU
618,FIRESTAR/ANGELICA JO,BLACK PANTHER/T'CHAL
619,SILVER SCORPION/ELIS,BEETLE II/LEILA DAVI
620,TIGRA/GREER NELSON,NIGHTCRAWLER/KURT WA
621,HERCULES [GREEK GOD],"STEELE, MARCY MASTER"
622,AEGIS/TREY ROLLINS,SPEEDBALL/ROBBIE BAL
623,COUNTERWEIGHT/JACK P,"DELGADO, FATHER"
624,CHAKRA,SCRIER II/
625,VULTURE/ADRIAN TOOME,CAPTAIN AMERICA
626,LONGSHOT,DAZZLER II/ALLISON B
627,SHADOWCAT/KATHERINE ,MYSTIQUE/RAVEN DARKH
628,"GATOR, LORD",IRON FIST/DANIEL RAN
629,HAWK,COLLECTOR/TANELEER T
630,BLACK WIDOW/NATASHA ,ICEMAN/ROBERT BOBBY 
631,"CLEMSON, MIKE",MANIPULATOR/
632,REPTYL,VISION 
633,HOGUN [ASGARDIAN],BALDER [ASGARDIAN]
634,SAURON/DR. KARL LYKO,COPYCAT/VANESSA
635,"MORLAK, MARIS",MEDUSA/MEDUSALITH AM
636,FIXER II/PAUL NORBER,SMUGGLER II/CONRAD J
637,VISION ,"JONES, RICHARD MILHO"
638,HEADLOK,"HUDSON, HEATHER"
639,FANDRAL [ASGARDIAN],"OLSON, MRS."
640,THUNDERBIRD II/JAMES,GIDEON
641,ANT-MAN/DR. HENRY J.,"CHANDLER, PEGGY"
642,"VAN HELSING, RACHEL","HARKER, QUINCY"
643,ANT-MAN/DR. HENRY J.,EXECUTIONER II/SKURG
644,"DEAN, DARBY",DIAMOND LIL/LILLIAN 
645,"JAMESON, J. JONAH",KA-ZAR/KEVIN PLUNDER
646,LYJA LAZERFIST [SKRU,MS. MARVEL II/SHARON
647,PENANCE/MONET ST. CR,BUMPKIN
648,VISION ,ANT-MAN/DR. HENRY J.
649,QUICKSILVER/PIETRO M,THUMBELLINA
650,DEVIL-SLAYER/ERIC SI,IRON MAN/TONY STARK 
651,DR. STRANGE/STEPHEN ,CLEA
652,WOLVERINE/LOGAN ,HUSK/PAIGE GUTHRIE
653,MOONSTONE II/KARLA S,HUMAN TORCH/JOHNNY S
654,MIRAGE II/DANIELLE M,SHADOWCAT/KATHERINE 
655,CAPTAIN BRITAIN/BRIA,NIGHTCRAWLER/KURT WA
656,MR. FANTASTIC/REED R,THING/BENJAMIN J. GR
657,CALIBAN/,BEAST/HENRY &HANK& P
658,DOC SAMSON/DR. LEONA,LUNA/LUNA MAXIMOFF [
659,MOLECULE MAN/OWEN RE,HYDROMAN/MORRIE BENC
660,POLARIS/LORNA DANE,"SOUTHERN, CANDY"
661,"FRIEDLANDER, SHARON",THOR/DR. DONALD BLAK
662,SCANNER II,PIPELINE/CORMICK GRI
663,VISION ,THING/BENJAMIN J. GR
664,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R
665,POLARIS/LORNA DANE,TUSK
666,NIGHT THRASHER/DUANE,CAPTAIN AMERICA
667,WOLFSBANE/RAHNE SINC,HAIRBAG/SUGGS
668,DAREDEVIL/MATT MURDO,"PAGE, KAREN"
669,SINGER,GAMBIT/REMY LEBEAU 
670,"JAMESON, J. JONAH",GREEN GOBLIN/NORMAN 
671,IRON MAN/TONY STARK ,KUROKO/
672,CAPTAIN AMERICA,HUMAN TORCH/JOHNNY S
673,SHE-HULK/JENNIFER WA,QUICKSILVER/PIETRO M
674,INVISIBLE WOMAN/SUE ,THORNN
675,"ROSENTHAL, BERNIE",NOMAD III/JACK MONRO
676,IRON MAN/TONY STARK ,MR. FANTASTIC/REED R
677,GREEN GOBLIN IV/PHIL,"STACY, PAUL"
678,DINAH-SOAR,CAPTAIN AMERICA
679,"STARR, JACQUELINE","RON, DAN"
680,"WOO, JIMMY","FURY, COL. NICHOLAS "
681,BEAST/HENRY &HANK& P,BANSHEE/SEAN CASSIDY
682,CORSAIR,MR. FANTASTIC/REED R
683,HAWK,CYCLOPS/SCOTT SUMMER
684,CANNONBALL II/SAM GU,SIRYN/THERESA ROURKE
685,DOC SAMSON/DR. LEONA,LEADER/SAM STERNS
686,BLACK KNIGHT V/DANE ,SERSI/SYLVIA
687,"JARVIS, EDWIN ",GEE/ALEX POWER
688,LILANDRA NERAMANI [S,JOSEPH
689,OGRE,BEETLE II/LEILA DAVI
690,STARFOX/EROS,TERRAX
691,CAPTAIN AMERICA,JINKU
692,CHAMBER/JONOTHON STA,SYNCH/EVERETT THOMAS
693,BEYONDER,CYCLOPS/SCOTT SUMMER
694,NIGHTHAWK/KYLE RICHM,VISION 
695,ULIK,BALDER [ASGARDIAN]
696,CARETAKER,BLACKOUT II/
697,WONDER MAN/SIMON WIL,HUMAN TORCH/JOHNNY S
698,HAWK,THOR/DR. DONALD BLAK
699,IMPULSE,ASTRA
700,WOLVERINE/LOGAN ,NIGHTCRAWLER/KURT WA
701,DRACULA/VLAD TEPES,"ANTOINETTE, MARIE"
702,SIF,BETA RAY BILL
703,"SMITH, SIR DENIS NAY",FU MANCHU
704,NOVA II/FRANKIE RAYE,BEAST DOPPELGANGER
705,EELAK,AHURA
706,QUEEN OF STAR SWORDS,"SEBASTIAN, MRS."
707,STARFOX/EROS,ISAAC
708,ZIRAN,IRON MAN/TONY STARK 
709,"SEWARD, JANE","SEWARD, DR. CHARLES"
710,NIGHTCRAWLER/KURT WA,COLOSSUS II/PETER RA
711,CYPHER/DOUG RAMSEY,CANNONBALL II/SAM GU
712,FIRESTAR/ANGELICA JO,WONDER MAN/SIMON WIL
713,CAPTAIN AMERICA,HUMAN TORCH ANDROID/
714,"JONES, LORRAINE LORR","ROM, SPACEKNIGHT"
715,HAWK,WOLVERINE/LOGAN 
716,CANNONBALL II/SAM GU,SHATTERSTAR II/GAVEE
717,ANGEL/WARREN KENNETH,BANSHEE/SEAN CASSIDY
718,"LOCKE, DR. CASSANDRA",YETI
719,"RICHARDS, FRANKLIN B","MASTERS, ALICIA REIS"
720,HAVOK/ALEX SUMMERS ,WOLVERINE/LOGAN 
721,SUNFIRE/SHIRO YOSHID,BEAST/HENRY &HANK& P
722,WASP/JANET VAN DYNE ,INVISIBLE WOMAN/SUE 
723,LILANDRA NERAMANI [S,STORM/ORORO MUNROE S
724,TRIATHLON/DELROY GAR,FIREBIRD/BONITA JUAR
725,ICEMAN/ROBERT BOBBY ,DAREDEVIL/MATT MURDO
726,"GRANT, GLORIA GLORY",BLACK CAT/FELICIA HA
727,"THOMPSON, EUGENE FLA",SPIDER-MAN/PETER PAR
728,SPIDER-WOMAN II/JULI,MORDRED THE EVIL
729,DORMAMMU,CLEA
730,"GERHARDT, JOSEPH HEI",ARMAZIEL
731,"STORM, CHILI",INVISIBLE WOMAN/SUE 
732,COLOSSUS II/PETER RA,BLOB/FRED J. DUKES
733,PROFESSOR X/CHARLES ,"STRUCKER, ANDREA"
734,CAPTAIN AMERICA,DAREDEVIL/MATT MURDO
735,MAGIK/ILLYANA RASPUT,"CLAREMONT, CHRIS"
736,"STACY, GWEN",ICEMAN/ROBERT BOBBY 
737,SPIDER-MAN/PETER PAR,"PARKER, MARY"
738,WOZ/DEWOZ,ARCHAEOPTERYX/TONAJA
739,SEA WITCH/BRIGIT O'H,MOONSTALKER/KIANA
740,LILANDRA NERAMANI [S,CORSAIR
741,SCREAMING MIMI/MELIS,BEETLE/ABNER RONALD 
742,SHAMAN/MICHAEL TWOYO,FLEX/ADRIAN CORBO
743,TARTARUS,NIGHTCRAWLER/KURT WA
744,QUICKSILVER/PIETRO M,BLACK WIDOW/NATASHA 
745,"LEEDS, BETTY BRANT",JACK O'LANTERN II/MA
746,FIRESTAR/ANGELICA JO,VISION 
747,LOKI [ASGARDIAN],"KINCAID, DR. JANE FO"
748,MICROMAX/SCOTT WRIGH,RINGTOSS
749,"LEEDS, BETTY BRANT",PROFESSOR X/CHARLES 
750,BROTHER VOODOO/DANIE,STILETTO
751,FANDRAL [ASGARDIAN],SNAGG
752,PROFESSOR X/CHARLES ,TWEEDLEDOPE
753,SHIP,CYCLOPS/SCOTT SUMMER
754,DAREDEVIL/MATT MURDO,ICEMAN/ROBERT BOBBY 
755,INVISIBLE WOMAN/SUE ,SHE-HULK/JENNIFER WA
756,HOGUN [ASGARDIAN],AMERICAN EAGLE III/J
757,PSYLOCKE/ELISABETH B,HUMAN TORCH/JOHNNY S
758,NIGHTCRAWLER/KURT WA,SHADOWCAT/KATHERINE 
759,"PAIBOK, CAPT. [SKRUL",MR. FANTASTIC/REED R
760,"MASTERS, ALICIA REIS",THING/BENJAMIN J. GR
761,PSYCHO-MAN,TENEBRAE
762,CYCLOPS/SCOTT SUMMER,NIGHTCRAWLER/KURT WA
763,HAWK,INVISIBLE WOMAN/SUE 
764,SUB-MARINER/NAMOR MA,WRECKER III/DIRK GAR
765,TOM THUMB/THOMAS THO,BEAST/HENRY &HANK& P
766,SENTRY IV/VAL,JAVELIN II/DARIN JR.
767,HEIMDALL [ASGARDIAN],"WATSON-PARKER, MARY "
768,BETTY-6,LIBRITO
769,DOC SAMSON/DR. LEONA,HAVOK/ALEX SUMMERS 
770,NAMORITA/NITA PRENTI,JUSTICE II/VANCE AST
771,INVISIBLE WOMAN/SUE ,JUSTICE II/VANCE AST
772,POLARIS/LORNA DANE,WOLVERINE/LOGAN 
773,FIXER II/PAUL NORBER,GRAVITON/FRANK HALL
774,MYSTIQUE/RAVEN DARKH,RICTOR/JULIO ESTEBAN
775,"KINCAID, JIMMY","KENT, CLARK"
776,MISS AMERICA/MADELIN,MISS AMERICA/MADELIN
777,THOR/DR. DONALD BLAK,HAWK
778,"FROST, CARMILLA",KILLRAVEN/JONATHAN R
779,PURPLE MAN/ZEBEDIAH ,ROUST
780,ANT-MAN/DR. HENRY J.,BLACK KNIGHT V/DANE 
781,BULLDOZER/HENRY CAMP,PROFESSOR X/CHARLES 
782,NIGHTMARE/EDVARD HAB,"RAMIREZ, JAVIER"
783,BRUTE II/,THUNDERBIRD II/JAMES
784,CAPTAIN AMERICA,DIAMONDBACK II/RACHE
785,"CAGE, LUKE/CARL LUCA",THENA
786,CYCLOPS/SCOTT SUMMER,CHANGELING
787,JACK OF HEARTS/JACK ,"SHINCHUKO, LOTUS"
788,PATRIOT/JEFF MACE,MISS AMERICA/MADELIN
789,"FUJIKAWA, RUMIKO",WASP/JANET VAN DYNE 
790,HOGUN [ASGARDIAN],FANDRAL [ASGARDIAN]
791,SYNCH/EVERETT THOMAS,"LANIEGE, BIANCA"
792,"LEEDS, BETTY BRANT",SPIDER-MAN/PETER PAR
793,"POWER, MARGARET",LIGHTSPEED/JULIE POW
794,PHOENIX II,WOLVERINE/LOGAN 
795,COLOSSUS II/PETER RA,"MORGAN, JERROLD JERR"
796,"COOPER, DR. VALERIE",BATTLESTAR/LEMAR HOS
797,CAPTAIN BRITAIN/BRIA,ROMA
798,X-MAN/NATHAN GREY ,"FONTAINE, CINDER"
799,IRON FIST/DANIEL RAN,FALCON/SAM WILSON
800,WHITE QUEEN/EMMA FRO,BANSHEE/SEAN CASSIDY
801,ICEMAN/ROBERT BOBBY ,WASP/JANET VAN DYNE 
802,ANT-MAN/DR. HENRY J.,POLARIS/LORNA DANE
803,SELENE,REIGNFIRE/
804,"AGARN, CAPT.",SLEEK
805,STRONG GUY/GUIDO CAR,ROGUE /
806,WONDER MAN/SIMON WIL,SPIDER-MAN/PETER PAR
807,BALDER [ASGARDIAN],SIF
808,ZELDA,ANGEL/WARREN KENNETH
809,SPIDER-MAN/PETER PAR,PHOENIX III/RACHEL S
810,HAWK,JAWBREAKER/
811,VOLSTAGG,HOGUN [ASGARDIAN]
812,DR. DOOM | MUTANT X-,HULK | MUTANT X-VERS
813,ERISHKIGEL II/HOLLY ,QUASAR III/WENDELL V
814,PROFESSOR X/CHARLES ,ELSIE DEE
815,IRON MAN/TONY STARK ,"CARPENTER, RACHEL"
816,SELENE,ROULETTE II/JENNY ST
817,DOMINO III/BEATRICE/,LODESTONE/ANDREA
818,NIGHTCRAWLER/KURT WA,THOR/DR. DONALD BLAK
819,BLACKOUT/MARCUS DANI,GREEN GOBLIN/NORMAN 
820,NOMAD III/JACK MONRO,CAPTAIN AMERICA
821,"JONES, CHARLOTTE",NIGHTCRAWLER/KURT WA
822,"ROSENTHAL, BERNIE",BUSHMASTER II/QUINCY
823,CAPTAIN AMERICA,FALCON/SAM WILSON
824,"MACTAGGERT, MOIRA KI",IRON MAN/TONY STARK 
825,GALACTUS/GALAN,SHAMAN/MICHAEL TWOYO
826,BULLDOZER/HENRY CAMP,"PENNYWORTH, J.C."
827,SPRITE,VISARA
828,BUTCH,WOLFSBANE/RAHNE SINC
829,CAPTAIN AMERICA,DIAMONDBACK II/RACHE
830,MEDUSA/MEDUSALITH AM,ARCHAEOPTERYX/TONAJA
831,HARNESS/ERIKA BENSON,BEAST/HENRY &HANK& P
832,TAURUS/CORNELIUS VAN,MOCKINGBIRD/DR. BARB
833,SILVER SAMURAI/KENYU,LOCKHEED
834,UATU,PHOENIX III/RACHEL S
835,"PALERMO, HARRIET ROS","OSBORN, LIZ ALLAN"
836,"POWELL, GRACE",PUNISHER II/FRANK CA
837,RIGER,SIF
838,REJECT/RAN-SAK [DEVI,GENII/JASON KIMBALL
839,NOVA/RICHARD RIDER,"BURLEY, MIKE"
840,FANDRAL [ASGARDIAN],STARFOX/EROS
841,BLACK WIDOW/NATASHA ,"STALYENKO, COL. YURI"
842,APOCALYPSE/EN SABAH ,VANISHER
843,HULK/DR. ROBERT BRUC,ABOMINATION/EMIL BLO
844,FALCON/SAM WILSON,BLACK PANTHER/T'CHAL
845,SPRITE,KARKAS [DEVIANT]
846,GREEN GOBLIN III/BAR,"OSBORN, LIZ ALLAN"
847,MARVEL GIRL/JEAN GRE,BEAST/HENRY &HANK& P
848,"THOMPSON, EUGENE FLA","MERCADO, JOY"
849,SHADOWCAT/KATHERINE ,ANGEL/WARREN KENNETH
850,"STARR, TRIXIE TRISH",EGGHEAD/PROF. ELIHAS
851,BINARY/CAROL DANVERS,"CARTER, SHARON"
852,SNOWBIRD/NARYA/ANNE ,SCARLET WITCH/WANDA 
853,"WILSON, JIM",BLUE STREAK/
854,CLEA,RINTRAH
855,WOLVERINE/LOGAN ,TESSA
856,REJECT/RAN-SAK [DEVI,KARKAS [DEVIANT]
857,HAWK,MELTER/BRUNO HORGAN
858,MAGNETO | MUTANT X-V,MOON KNIGHT | MUTANT
859,HAWK,ICEMAN/ROBERT BOBBY 
860,CYCLOPS/SCOTT SUMMER,"DOLAN, STACY"
861,AMPHIBIUS,MARVEL GIRL/JEAN GRE
862,WONDER MAN/SIMON WIL,WHIZZER/ROBERT L. FR
863,IRON MAN V/TEEN TONY,HOLOCAUST
864,DRACULA/VLAD TEPES,HUSK/PAIGE GUTHRIE
865,HAWK,SPIDER-MAN/PETER PAR
866,NUKE,LADY LARK/LINDA LEWI
867,HILDY [ASGARDIAN],BALDER [ASGARDIAN]
868,"TOWER, BLAKE",CHAMELEON/DMITRI SME
869,NOVA | MUTANT X-VERS,DAREDEVIL | MUTANT X
870,SHOOTING STAR,TEXAS TWISTER/DREW D
871,STYGIAN STARBENDER,SHAPE
872,CYCLOPS/SCOTT SUMMER,COLOSSUS II DOPPELGA
873,AVALANCHE/DOMINIC PE,"MACTAGGERT, MOIRA KI"
874,UATU,COLOSSUS II DOPPELGA
875,SANDMAN/WILLIAM BAKE,HYDROMAN/MORRIE BENC
876,CRIMSON DYNAMO V/DIM,FANTASMA
877,"WATSON-PARKER, MARY ",VULTURE/ADRIAN TOOME
878,BEAST/HENRY &HANK& P,ROGUE /
879,BLACK RACER/,BUSHMASTER II/QUINCY
880,"O'BRIEN, MICHAEL",IRON MAN/TONY STARK 
881,DESTINY II/IRENE ADL,STONEWALL/LOUIS HAMI
882,HAVOK/ALEX SUMMERS ,LOCKHEED
883,AURORA/JEANNE-MARIE ,SIF
884,"KANE, SUGAR",ICEMAN/ROBERT BOBBY 
885,LOKI [ASGARDIAN],SIF
886,"ROSENTHAL, BERNIE",SISTER DEATH
887,CRYSTAL [INHUMAN],FALCONA [INHUMAN]
888,HULK/DR. ROBERT BRUC,WOLVERINE SKRULL
889,"ROBERTSON, JOE",BEETLE/ABNER RONALD 
890,WONDER MAN/SIMON WIL,THOR/DR. DONALD BLAK
891,"PETROVITCH, IVAN","O'HARA, ROBERT IRONG"
892,PROFESSOR X/CHARLES ,COLOSSUS II/PETER RA
893,HUMAN TORCH/JOHNNY S,"MOY, ALYSSA"
894,THING/BENJAMIN J. GR,"OSBORN, HARRY"
895,HUMAN TORCH/JOHNNY S,"QUINN, MIRANDA/M'RYN"
896,"LEEDS, BETTY BRANT","ROBERTSON, JOE"
897,"CHANG, DR. PHILLIP","BANNON, LANCE"
898,VARUA/MIRA,HARGEN
899,CHAMBER/JONOTHON STA,HUSK/PAIGE GUTHRIE
900,HAIRBAG/SUGGS,PROFESSOR X/CHARLES 
901,"LIPTON, TRENTON III",EL TORO NEGRO/SERGIO
902,JAM/JASMINE ARCHER,THRENODY
903,"GYRICH, HENRY PETER",CAPTAIN AMERICA
904,"JAMESON, J. JONAH","WATSON-PARKER, MARY "
905,PILEDRIVER II/BRIAN ,CYCLOPS/SCOTT SUMMER
906,"DIAMOND, BOB","TEMPLE, CLAIRE"
907,WOLVERINE/LOGAN ,NIGHTCRAWLER/KURT WA
908,SPIDER-MAN/PETER PAR,WOLVERINE/LOGAN 
909,HOGUN [ASGARDIAN],ODIN [ASGARDIAN]
910,DR. STRANGE/STEPHEN ,ANT-MAN/DR. HENRY J.
911,CLOAK/TYRONE JOHNSON,"PARKER, MAY"
912,EITRI,BLOB/FRED J. DUKES
913,VISION ,KISMET/J'RIDIA STARD
914,CYCLOPS/SCOTT SUMMER,"MASTERS, ALICIA REIS"
915,NOVA/RICHARD RIDER,"RIDER, GLORIA"
916,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S
917,THUNDERSTRIKE/ERIC K,FALCON/SAM WILSON
918,JUBILEE/JUBILATION L,CHAMBER/JONOTHON STA
919,ATALANTA,JASON
920,CANNONBALL II/SAM GU,NIGHTCRAWLER/KURT WA
921,ANGEL/WARREN KENNETH,CYCLOPS/SCOTT SUMMER
922,CRYSTAL [INHUMAN],IRON MAN/TONY STARK 
923,SUNSPOT/ROBERTO DACO,STORM/ORORO MUNROE S
924,ANGEL/WARREN KENNETH,GAZA
925,"DUGAN, TIMOTHY ALOYI",NIGHTHAWK II/KYLE RI
926,MISTER HYDE/CALVIN Z,RATTLER
927,"O'BRIEN, MICHAEL",QUASAR III/WENDELL V
